#time,steering_angle (rad),encoder_ticks (ticks)
0,0,0
0.2,0,50
0.4,0,50
0.6,0,50
0.8,0,50
1,0,50
1.2,0,50
1.4,0,50
1.6,0,50
1.8,0,50
2,0,50
2.2,1.047197551,50
2.4,1.047197551,50
2.6,1.047197551,50
2.8,1.047197551,50
3,1.047197551,50
3.2,1.047197551,50
3.4,1.047197551,50
3.6,1.047197551,50
3.8,1.047197551,50
4,1.047197551,50
4.2,1.047197551,50
4.4,1.047197551,50
4.6,1.047197551,50
4.8,1.047197551,50
5,1.047197551,50
5.2,1.047197551,50
5.4,1.047197551,50
5.6,1.047197551,50
5.8,1.047197551,50
6,1.047197551,50
6.2,1.047197551,50
6.4,1.047197551,50
6.6,1.047197551,50
6.8,1.047197551,50
7,1.047197551,50
7.2,1.047197551,50
7.4,1.047197551,50
7.6,1.047197551,50
7.8,1.047197551,50
8,1.047197551,50
8.2,-1.047197551,50
8.4,-1.047197551,50
8.6,-1.047197551,50
8.8,-1.047197551,50
9,-1.047197551,50
9.2,-1.047197551,50
9.4,-1.047197551,50
9.6,-1.047197551,50
9.8,-1.047197551,50
10,-1.047197551,50
10.2,-1.047197551,50
10.4,-1.047197551,50
10.6,-1.047197551,50
10.8,-1.047197551,50
11,-1.047197551,50
11.2,-1.047197551,50
11.4,-1.047197551,50
11.6,-1.047197551,50
11.8,-1.047197551,50
12,-1.047197551,50
12.2,-1.047197551,50
12.4,-1.047197551,50
12.6,-1.047197551,50
12.8,-1.047197551,50
13,-1.047197551,50
13.2,-1.047197551,50
13.4,-1.047197551,50
13.6,-1.047197551,50
13.8,-1.047197551,50
14,-1.047197551,50
14.2,-1.047197551,50
14.4,-1.047197551,50
14.6,-1.047197551,50
14.8,-1.047197551,50
15,-1.047197551,50
15.2,-1.047197551,50
15.4,-1.047197551,50
15.6,-1.047197551,50
15.8,-1.047197551,50
16,-1.047197551,50
16.2,-1.047197551,50
16.4,-1.047197551,50
16.6,-1.047197551,50
16.8,-1.047197551,50
17,-1.047197551,50
17.2,-1.047197551,50
17.4,-1.047197551,50
17.6,-1.047197551,50
17.8,-1.047197551,50
18,-1.047197551,50
18.2,-1.047197551,50
18.4,-1.047197551,50
18.6,-1.047197551,50
18.8,-1.047197551,50
19,-1.047197551,50
19.2,-1.047197551,50
19.4,-1.047197551,50
19.6,-1.047197551,50
19.8,-1.047197551,50
20,-1.047197551,50
20.2,1.047197551,50
20.4,1.047197551,50
20.6,1.047197551,50
20.8,1.047197551,50
21,1.047197551,50
21.2,1.047197551,50
21.4,1.047197551,50
21.6,1.047197551,50
21.8,1.047197551,50
22,1.047197551,50
22.2,1.047197551,50
22.4,1.047197551,50
22.6,1.047197551,50
22.8,1.047197551,50
23,1.047197551,50
23.2,1.047197551,50
23.4,1.047197551,50
23.6,1.047197551,50
23.8,1.047197551,50
24,1.047197551,50
24.2,1.047197551,50
24.4,1.047197551,50
24.6,1.047197551,50
24.8,1.047197551,50
25,1.047197551,50
25.2,1.047197551,50
25.4,1.047197551,50
25.6,1.047197551,50
25.8,1.047197551,50
26,1.047197551,50
26.2,0,50
26.4,0,50
26.6,0,50
26.8,0,50
27,0,50
27.2,0,50
27.4,0,50
27.6,0,50
27.8,0,50
28,0,50
28.2,0,50
28.4,0,50
28.6,0,50
28.8,0,50
29,0,50
29.2,0,50
29.4,0,50
29.6,0,50
29.8,0,50
30,0,50
30.2,0,50
30.4,0,50
30.6,0,50
30.8,0,50
31,0,50
31.2,0,50
31.4,0,50
31.6,0,50
31.8,0,50
32,0,50
